Feature,human,gpt
types:count,-1.050694237126408,1.050694237126408
num_tokens:num_tokens,-0.8412699224254859,0.8412699224254859
tokens:count,-0.8412699224254859,0.8412699224254859
punctuation:.,0.5320060059090976,-0.5320060059090976
dep_labels:advcl,-0.474919733340006,0.474919733340006
punctuation::,-0.47422835108730826,0.47422835108730826
pos_bigrams:ADJ ADJ,0.4629452599778554,-0.4629452599778554
punctuation:-,0.45820461556518705,-0.45820461556518705
punctuation:;,0.44921223752522044,-0.44921223752522044
func_words:which,0.4351831726948745,-0.4351831726948745
punctuation:!,0.42913293972991373,-0.42913293972991373
morph_tags:Aspect=Prog,-0.42464060830071854,0.42464060830071854
func_words:'s,-0.41606454463823306,0.41606454463823306
func_words:maybe,-0.4109434228362326,0.4109434228362326
pos_bigrams:VERB PROPN,0.40635375110256355,-0.40635375110256355
func_words:do,0.39823998883251077,-0.39823998883251077
pos_bigrams:ADV PUNCT,-0.38278124614735687,0.38278124614735687
func_words:other,0.3820167964379185,-0.3820167964379185
pos_bigrams:CCONJ PUNCT,0.37890349832670994,-0.37890349832670994
pos_bigrams:PRON PUNCT,0.3631752239879168,-0.3631752239879168
dep_labels:conj,0.3627514522127244,-0.3627514522127244
func_words:very,0.35751725580333027,-0.35751725580333027
dep_labels:pcomp,-0.35470647875284483,0.35470647875284483
pos_bigrams:PUNCT ADP,0.3412888440510626,-0.3412888440510626
morph_tags:VerbForm=Fin,0.3406149487440445,-0.3406149487440445
pos_bigrams:AUX PROPN,0.3393673226600094,-0.3393673226600094
func_words:is,0.3357557520833758,-0.3357557520833758
dep_labels:ROOT,0.324276588638523,-0.324276588638523
func_words:few,0.3213045968566104,-0.3213045968566104
func_words:have,0.3206609530985341,-0.3206609530985341
func_words:just,-0.3142355276286203,0.3142355276286203
pos_bigrams:PART PUNCT,0.3127623057267235,-0.3127623057267235
func_words:'ve,-0.31224060300529133,0.31224060300529133
pos_bigrams:ADP NUM,0.3104069699282741,-0.3104069699282741
dep_labels:auxpass,0.30770481907348507,-0.30770481907348507
"punctuation:,",-0.3044890194718141,0.3044890194718141
func_words:were,0.3018059004119214,-0.3018059004119214
func_words:then,0.2992534900728128,-0.2992534900728128
pos_bigrams:PUNCT PUNCT,0.29769903751584065,-0.29769903751584065
dep_labels:dative,0.2918518586916064,-0.2918518586916064
morph_tags:PronType=Ind,-0.29140768060400646,0.29140768060400646
func_words:each,-0.28549022364991444,0.28549022364991444
func_words:did,0.2850916595516161,-0.2850916595516161
func_words:complex,-0.2844769573746558,0.2844769573746558
morph_tags:PunctType=Comm,-0.28413101354589326,0.28413101354589326
func_words:us,-0.28276337730160617,0.28276337730160617
func_words:would,0.2804891265718941,-0.2804891265718941
func_words:because,0.2777771898727085,-0.2777771898727085
pos_bigrams:PART ADV,-0.27726963103202196,0.27726963103202196
pos_bigrams:ADV CCONJ,0.26686703450195043,-0.26686703450195043
