Feature,human,gpt
pos_unigrams:ADJ,0.08014352431682815,-0.08014352431682815
pos_unigrams:ADP,-0.11977383369045908,0.11977383369045908
pos_unigrams:ADV,0.006973059344168385,-0.006973059344168385
pos_unigrams:AUX,-0.11805216405438314,0.11805216405438314
pos_unigrams:CCONJ,0.008240688335316293,-0.008240688335316293
pos_unigrams:DET,0.050760683067167335,-0.050760683067167335
pos_unigrams:INTJ,-0.2062234852972686,0.2062234852972686
pos_unigrams:NOUN,0.08775985075029105,-0.08775985075029105
pos_unigrams:NUM,-0.20665134777147068,0.20665134777147068
pos_unigrams:PART,-0.11254372012315295,0.11254372012315295
pos_unigrams:PRON,-0.12948411152109493,0.12948411152109493
pos_unigrams:PROPN,-0.07634160857378244,0.07634160857378244
pos_unigrams:PUNCT,-0.038557409622080915,0.038557409622080915
pos_unigrams:SCONJ,-0.09147662657344538,0.09147662657344538
pos_unigrams:SYM,0.07540378184683108,-0.07540378184683108
pos_unigrams:VERB,0.05771626804838626,-0.05771626804838626
pos_unigrams:X,0.010917350238335882,-0.010917350238335882
pos_unigrams:SPACE,-0.0,0.0
pos_bigrams:ADJ ADP,0.00867738303847431,-0.00867738303847431
pos_bigrams:ADP ADJ,-0.014728069617096455,0.014728069617096455
pos_bigrams:ADJ ADV,0.09234332887316019,-0.09234332887316019
pos_bigrams:ADV ADJ,-0.171121136941454,0.171121136941454
pos_bigrams:ADJ AUX,-0.0962816604623203,0.0962816604623203
pos_bigrams:AUX ADJ,0.2335846094545509,-0.2335846094545509
pos_bigrams:ADJ CCONJ,-0.1959892598883113,0.1959892598883113
pos_bigrams:CCONJ ADJ,0.12449467066487233,-0.12449467066487233
pos_bigrams:ADJ DET,0.021015729487703617,-0.021015729487703617
pos_bigrams:DET ADJ,0.15088491876968324,-0.15088491876968324
pos_bigrams:ADJ INTJ,-0.06414914098596558,0.06414914098596558
pos_bigrams:INTJ ADJ,-0.08635699999236737,0.08635699999236737
pos_bigrams:ADJ NOUN,0.1813182484655853,-0.1813182484655853
pos_bigrams:NOUN ADJ,0.0903133381426234,-0.0903133381426234
pos_bigrams:ADJ NUM,-0.16168781540518803,0.16168781540518803
pos_bigrams:NUM ADJ,-0.21553817632426323,0.21553817632426323
pos_bigrams:ADJ PART,0.18722960339242212,-0.18722960339242212
pos_bigrams:PART ADJ,0.12840447500775126,-0.12840447500775126
pos_bigrams:ADJ PRON,-0.07275509576651452,0.07275509576651452
pos_bigrams:PRON ADJ,0.059947293619179304,-0.059947293619179304
pos_bigrams:ADJ PROPN,-0.14184572880569504,0.14184572880569504
pos_bigrams:PROPN ADJ,0.056880283036603675,-0.056880283036603675
pos_bigrams:ADJ PUNCT,0.00897710232223941,-0.00897710232223941
pos_bigrams:PUNCT ADJ,-0.2362632851282624,0.2362632851282624
pos_bigrams:ADJ SCONJ,0.1738360851836305,-0.1738360851836305
pos_bigrams:SCONJ ADJ,0.18085209315050077,-0.18085209315050077
pos_bigrams:ADJ SYM,-0.07481502166169444,0.07481502166169444
pos_bigrams:SYM ADJ,-0.053926786707934125,0.053926786707934125
pos_bigrams:ADJ VERB,-0.12436878094770122,0.12436878094770122
pos_bigrams:VERB ADJ,0.241736833626777,-0.241736833626777
pos_bigrams:ADJ X,-0.07531789121828286,0.07531789121828286
pos_bigrams:X ADJ,-0.05092792193244941,0.05092792193244941
pos_bigrams:ADJ SPACE,-0.0,0.0
pos_bigrams:SPACE ADJ,-0.0,0.0
pos_bigrams:ADP ADV,0.06399870375982926,-0.06399870375982926
pos_bigrams:ADV ADP,0.03552294012449408,-0.03552294012449408
pos_bigrams:ADP AUX,-0.04275389152506891,0.04275389152506891
pos_bigrams:AUX ADP,-0.08713270624389903,0.08713270624389903
pos_bigrams:ADP CCONJ,-0.061128722005318756,0.061128722005318756
pos_bigrams:CCONJ ADP,-0.08973667725059006,0.08973667725059006
pos_bigrams:ADP DET,-0.18277173461771162,0.18277173461771162
pos_bigrams:DET ADP,-0.15436702157141774,0.15436702157141774
pos_bigrams:ADP INTJ,-0.10758590477258688,0.10758590477258688
pos_bigrams:INTJ ADP,0.004445573300719007,-0.004445573300719007
pos_bigrams:ADP NOUN,0.14416839988363944,-0.14416839988363944
pos_bigrams:NOUN ADP,-0.04614193251955558,0.04614193251955558
pos_bigrams:ADP NUM,-0.26198163631067456,0.26198163631067456
pos_bigrams:NUM ADP,-0.0693678579604788,0.0693678579604788
pos_bigrams:ADP PART,0.07934812003172322,-0.07934812003172322
pos_bigrams:PART ADP,0.10088137619640417,-0.10088137619640417
pos_bigrams:ADP PRON,-0.09303336563732363,0.09303336563732363
pos_bigrams:PRON ADP,-0.08150253862415568,0.08150253862415568
pos_bigrams:ADP PROPN,-0.06492991593152318,0.06492991593152318
pos_bigrams:PROPN ADP,-0.07309196962782123,0.07309196962782123
pos_bigrams:ADP PUNCT,0.1609180034868991,-0.1609180034868991
pos_bigrams:PUNCT ADP,-0.345955102513189,0.345955102513189
pos_bigrams:ADP SCONJ,-0.024114293981442034,0.024114293981442034
