Feature,human,gpt
types:count,-3.282209510521299,3.282209510521299
punctuation:.,1.762132984560071,-1.762132984560071
punctuation:!,1.3810014950260145,-1.3810014950260145
num_tokens:num_tokens,-0.9213795176548436,0.9213795176548436
tokens:count,-0.9213795176548436,0.9213795176548436
dep_labels:advcl,-0.7193440469125948,0.7193440469125948
func_words:which,0.5928929726251404,-0.5928929726251404
punctuation:;,0.5739003304434408,-0.5739003304434408
pos_bigrams:ADJ ADJ,-0.1397271075228716,0.1397271075228716
punctuation::,0.023073726966513806,-0.023073726966513806
